X Y Z
265 204 525
266 204 526
267 204 527
268 204 528
269 204 529
270 204 530
262 205 524
263 205 524
264 205 525
265 205 525
266 205 526
267 205 527
268 205 528
269 205 529
270 205 530
262 206 524
263 206 525
264 206 525
265 206 525
266 206 526
267 206 527
268 206 528
269 206 530
270 206 530
271 206 531
261 207 524
262 207 524
263 207 524
264 207 524
265 207 526
266 207 526
267 207 527
268 207 528
269 207 530
270 207 530
271 207 531
261 208 523
262 208 524
263 208 524
264 208 525
265 208 526
266 208 526
267 208 528
268 208 529
269 208 530
270 208 531
271 208 531
272 208 531
260 209 523
261 209 523
262 209 524
263 209 524
264 209 525
265 209 526
266 209 527
267 209 528
268 209 529
269 209 530
270 209 531
271 209 531
272 209 531
261 210 523
262 210 524
263 210 524
264 210 525
265 210 526
266 210 527
267 210 528
268 210 529
269 210 530
270 210 531
271 210 531
272 210 531
260 211 523
261 211 523
262 211 524
263 211 524
264 211 525
265 211 526
266 211 527
267 211 528
268 211 530
269 211 531
270 211 531
271 211 531
272 211 531
273 211 532
260 212 523
261 212 523
262 212 524
263 212 525
264 212 525
265 212 526
266 212 527
267 212 529
268 212 530
269 212 531
270 212 531
271 212 531
272 212 532
273 212 532
274 212 532
260 213 522
261 213 523
262 213 524
263 213 524
264 213 526
265 213 527
266 213 528
267 213 529
268 213 530
269 213 531
270 213 531
271 213 532
272 213 532
273 213 532
274 213 532
261 214 523
263 214 524
264 214 526
265 214 527
266 214 528
267 214 529
268 214 530
269 214 531
270 214 531
271 214 532
272 214 532
273 214 532
274 214 532
261 215 522
263 215 525
264 215 526
265 215 527
266 215 528
267 215 529
268 215 530
269 215 531
271 215 532
272 215 532
273 215 533
274 215 533
261 216 521
262 216 523
263 216 524
264 216 526
265 216 527
266 216 529
267 216 530
268 216 531
269 216 531
270 216 532
271 216 532
273 216 533
274 216 533
275 216 534
257 217 515
258 217 516
259 217 517
260 217 518
261 217 521
262 217 523
263 217 524
264 217 527
265 217 528
266 217 529
267 217 530
268 217 531
270 217 532
272 217 533
273 217 533
274 217 534
275 217 534
257 218 516
258 218 516
259 218 516
260 218 518
261 218 520
262 218 523
263 218 524
264 218 527
265 218 528
266 218 530
267 218 530
268 218 531
270 218 532
271 218 533
272 218 533
273 218 534
274 218 534
275 218 534
256 219 517
257 219 516
258 219 516
259 219 516
260 219 517
261 219 520
262 219 523
263 219 524
264 219 527
266 219 530
267 219 530
268 219 531
269 219 532
270 219 532
271 219 533
272 219 533
273 219 534
274 219 534
275 219 535
256 220 517
257 220 516
258 220 516
259 220 516
260 220 518
261 220 520
262 220 523
263 220 525
264 220 528
265 220 529
266 220 531
267 220 531
268 220 531
269 220 532
270 220 532
271 220 533
272 220 534
273 220 535
274 220 535
275 220 536
256 221 517
257 221 517
258 221 516
259 221 517
260 221 518
261 221 521
263 221 526
264 221 529
265 221 530
266 221 531
267 221 531
269 221 532
270 221 533
271 221 533
272 221 534
273 221 535
274 221 536
275 221 536
256 222 517
257 222 516
258 222 517
259 222 517
260 222 519
261 222 521
263 222 526
264 222 529
265 222 530
266 222 531
267 222 531
269 222 532
270 222 533
271 222 533
272 222 534
273 222 535
274 222 536
275 222 537
256 223 517
257 223 517
258 223 517
259 223 518
260 223 520
261 223 522
262 223 524
263 223 527
264 223 529
265 223 530
266 223 531
267 223 531
269 223 532
270 223 533
271 223 533
272 223 535
273 223 536
274 223 537
275 223 538
256 224 517
257 224 517
258 224 518
259 224 518
260 224 521
261 224 523
262 224 525
263 224 528
264 224 529
265 224 530
266 224 531
267 224 531
269 224 532
270 224 533
271 224 534
272 224 535
273 224 536
274 224 537
275 224 538
276 224 539
256 225 517
257 225 517
258 225 518
259 225 519
260 225 521
262 225 526
263 225 528
264 225 530
265 225 530
266 225 531
267 225 531
269 225 532
270 225 533
271 225 534
272 225 535
273 225 536
274 225 538
275 225 539
276 225 540
256 226 518
257 226 518
258 226 519
259 226 520
260 226 522
262 226 526
263 226 529
264 226 530
265 226 530
266 226 531
267 226 531
268 226 532
269 226 532
270 226 533
271 226 534
272 226 535
273 226 537
274 226 538
275 226 539
276 226 540
256 227 518
257 227 518
258 227 519
259 227 521
260 227 523
261 227 524
262 227 527
263 227 529
264 227 530
265 227 531
266 227 531
268 227 532
269 227 533
270 227 534
271 227 535
272 227 536
273 227 537
274 227 538
275 227 539
276 227 540
256 228 519
257 228 520
258 228 521
259 228 522
261 228 525
262 228 527
263 228 529
264 228 531
266 228 532
267 228 532
268 228 533
269 228 534
270 228 535
271 228 535
272 228 536
273 228 537
274 228 538
275 228 539
276 228 540
256 229 519
257 229 520
258 229 521
259 229 522
261 229 525
262 229 528
263 229 530
264 229 531
265 229 532
266 229 532
267 229 533
268 229 534
269 229 534
270 229 535
271 229 536
272 229 537
273 229 537
274 229 538
275 229 539
276 229 540
256 230 520
257 230 521
258 230 522
259 230 523
261 230 526
262 230 528
263 230 530
264 230 531
265 230 532
266 230 533
267 230 533
268 230 534
269 230 535
270 230 536
271 230 536
272 230 537
273 230 538
274 230 539
275 230 539
276 230 540
256 231 521
257 231 521
258 231 522
259 231 523
260 231 524
261 231 526
262 231 528
263 231 530
265 231 532
266 231 533
267 231 534
268 231 535
269 231 535
270 231 536
271 231 537
272 231 537
273 231 538
274 231 538
275 231 539
276 231 539
256 232 521
257 232 522
259 232 523
260 232 524
261 232 527
262 232 529
263 232 531
264 232 532
265 232 533
266 232 534
267 232 534
268 232 535
269 232 536
270 232 537
271 232 537
272 232 537
273 232 538
274 232 539
275 232 539
256 233 522
258 233 523
259 233 524
260 233 525
261 233 527
262 233 529
263 233 531
264 233 532
265 233 533
266 233 534
267 233 535
268 233 536
269 233 537
270 233 537
271 233 537
272 233 538
273 233 538
274 233 539
275 233 540
256 234 522
257 234 523
258 234 524
259 234 525
260 234 526
261 234 528
262 234 530
264 234 533
265 234 534
266 234 535
267 234 536
268 234 536
269 234 537
270 234 537
271 234 538
272 234 538
273 234 539
274 234 539
275 234 540
256 235 522
257 235 523
258 235 524
259 235 525
260 235 527
261 235 529
263 235 532
264 235 533
265 235 534
267 235 536
268 235 537
269 235 537
270 235 538
271 235 538
272 235 538
273 235 539
274 235 540
276 235 541
256 236 523
257 236 524
258 236 525
259 236 527
260 236 528
261 236 530
262 236 531
263 236 533
264 236 534
265 236 535
266 236 535
267 236 536
268 236 537
269 236 538
270 236 538
271 236 539
272 236 539
273 236 540
275 236 541
276 236 542
277 236 543
256 237 523
257 237 525
258 237 526
259 237 527
260 237 529
262 237 532
263 237 533
264 237 534
265 237 535
266 237 535
267 237 536
268 237 537
269 237 538
270 237 538
271 237 539
272 237 540
273 237 540
274 237 541
275 237 542
276 237 542
277 237 543
256 238 524
257 238 525
258 238 527
259 238 528
260 238 530
261 238 531
262 238 532
263 238 533
264 238 534
265 238 534
266 238 535
267 238 535
268 238 536
269 238 537
270 238 538
271 238 539
272 238 539
273 238 540
274 238 541
275 238 542
276 238 542
277 238 543
257 239 526
258 239 527
259 239 529
260 239 530
261 239 531
262 239 532
263 239 533
264 239 534
265 239 534
266 239 534
267 239 535
268 239 536
269 239 537
270 239 538
271 239 538
272 239 539
273 239 540
274 239 541
275 239 542
276 239 542
277 239 543
257 240 527
258 240 528
259 240 530
261 240 532
262 240 533
263 240 533
264 240 534
265 240 534
266 240 534
267 240 534
268 240 535
269 240 535
270 240 536
271 240 537
272 240 538
273 240 539
274 240 540
275 240 541
277 240 542
257 241 528
258 241 529
260 241 531
261 241 533
262 241 533
263 241 533
264 241 533
265 241 533
266 241 533
267 241 533
268 241 533
269 241 534
270 241 535
271 241 535
272 241 536
273 241 537
274 241 538
275 241 539
276 241 539
277 241 540
257 242 529
258 242 530
259 242 531
260 242 532
261 242 533
262 242 533
263 242 533
264 242 533
265 242 532
266 242 532
267 242 532
268 242 532
269 242 533
270 242 533
271 242 534
272 242 534
273 242 535
274 242 535
257 243 530
258 243 531
259 243 532
260 243 533
261 243 533
262 243 533
263 243 533
264 243 532
265 243 531
266 243 531
267 243 531
268 243 531
269 243 531
270 243 532
271 243 532
272 243 532
273 243 532
274 243 532
258 244 533
259 244 533
260 244 534
261 244 534
262 244 534
263 244 533
264 244 531
265 244 530
266 244 529
267 244 529
268 244 528
269 244 528
270 244 528
271 244 528
272 244 528
274 244 526
275 244 525
276 244 522
277 244 522
258 245 534
259 245 534
260 245 535
261 245 535
262 245 534
263 245 533
264 245 531
265 245 529
266 245 528
267 245 528
268 245 527
269 245 527
270 245 527
271 245 527
272 245 526
273 245 525
274 245 524
275 245 523
276 245 522
277 245 522
258 246 535
